category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,29,6.0344827586206895,5.0,2.0,13.0,4.0,9.0,5.0,1.3296188099249484,1.5904066442684468,0.03628016605473594,2.454206470216054,0.7937267060217754,1.6793112473615617,0.8855845413397863
ecommerce,20,6.55,7.0,2.0,18.0,2.0,8.75,6.75,1.4695755829958101,1.137292940046351,0.3547242336409433,4.437697807994373,0.9049106274608978,1.6411450624788686,0.7362344350179708
education,30,7.433333333333334,5.5,1.0,17.0,4.0,12.0,8.0,1.2484376915809765,1.0476601924331825,0.17115647431813671,2.8428726536735076,0.6263250771349277,1.7013318516680214,1.0750067745330938
health,29,8.172413793103448,8.0,2.0,17.0,3.0,13.0,10.0,2.059595669119257,1.6080466043830715,0.4188250374576516,4.7401100653231625,0.6592200574618698,3.162818430516438,2.5035983730545683
news,24,35.083333333333336,31.5,7.0,79.0,18.0,53.25,35.25,3.6535563267186295,3.532810086564231,0.5271181855866851,7.505118941641705,1.170283375801949,6.053621035141002,4.883337659339053
public_admin,23,6.043478260869565,4.0,1.0,19.0,3.0,5.0,2.0,1.824918799505381,1.22990956308452,0.3020203062744224,4.017323647773345,0.9206103098238638,2.4167205552750297,1.4961102454511659
social_media,30,5.966666666666667,4.5,1.0,18.0,3.0,9.0,6.0,1.0388351173255421,0.9637753026641032,0.1009711384250484,2.095946087159922,0.45911950566102777,1.7664510126837865,1.3073315070227587
standards,27,3.0,2.0,1.0,8.0,2.0,3.0,1.0,1.8812194356897345,1.6533050926102835,0.06274035374104564,6.631603379038226,0.4246382854744105,2.475951502969751,2.0513132174953403
streaming,30,14.366666666666667,10.5,3.0,32.0,9.0,18.0,9.0,1.3440826398159085,1.1212938228889033,0.32353486613024135,3.3800295634288444,0.5994549878476514,1.8210511664705016,1.2215961786228502
technology,27,18.48148148148148,14.0,2.0,54.0,5.0,28.0,23.0,2.790229897362494,2.6436463670443078,0.15872113431413484,7.56017154068766,1.0065431419311441,3.6399620469352896,2.633418905004145
