category,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg
banking,29,12532422.344827587,2352790.0,926041.0,83479221.0,1543988.0,8618831.0,7074843.0,6804196.689655173,1428210.0,148326.0,41985388.0,1165074.0,5957450.0,4792376.0,5728225.655172414,799970.0,308797.0,41494575.0,420013.5,1825983.5,1405970.0,129.89756748118856,43.062736285525446,10.263526167552708,532.8866644067346,19.553351150659182,115.87713036721289,96.3237792165537,0.0002092538558915862,3.928453463e-05,1.5462106577e-05,0.001393852553037,2.5779967636e-05,0.000143908621207,0.000118128653571
ecommerce,20,5432309.5,4350680.5,911012.0,29412772.0,1344367.0,6298454.75,4954087.75,2324619.6,3214927.0,131480.0,4922651.0,507837.5,3549379.0,3041541.5,3107689.9,1098740.5,263566.0,25829974.0,790104.25,2098096.5,1307992.25,217.80022535224364,58.53834825012564,23.959533056427873,720.9441894296023,28.20846410349913,514.2190698924055,486.0106057889064,9.07032717215e-05,7.26433123085e-05,1.5211167364e-05,0.000491105054084,2.2446895798999996e-05,0.00010516529896075001,8.271840316175001e-05
education,30,8397083.566666666,4560441.5,309822.0,48840574.0,2558612.0,8923130.0,6364518.0,3114175.8333333335,3246884.0,82629.0,5454550.0,1828640.75,4644120.75,2815480.0,5467447.2,1536641.5,227190.0,43512997.0,523715.5,5010463.75,4486748.25,187.52425701185655,82.30265902015441,13.875843625585501,850.6725298576825,20.680618531900407,281.6772277981813,260.9966092662809,0.00014020610431263333,7.61456917255e-05,5.173097934e-06,0.0008154910640780001,4.2721144564e-05,0.00014898950161000002,0.00010626835704600002
health,29,4819266.551724138,2563431.0,836283.0,16028293.0,1083165.0,5788618.0,4705453.0,2979668.4137931033,1787623.0,144847.0,11554079.0,630369.5,4800060.0,4169690.5,1839598.1379310344,803444.0,205914.0,13580403.0,582537.0,990516.0,407979.0,184.60544595413586,43.206721354176835,9.332570412904861,626.7101719216906,19.358661413338112,525.3288846489129,505.9702232355748,8.046729361413793e-05,4.2801607406999995e-05,1.3963417251e-05,0.000267624408221,1.8085606005e-05,9.6652554746e-05,7.856694874100001e-05
news,24,17241768.375,3898010.0,1478987.0,55974522.0,2295053.75,34950344.0,32655290.25,6269060.625,2775501.5,1035535.0,27216915.0,1587520.5,7405732.5,5818212.0,10972707.75,1137728.5,443452.0,47814791.0,707996.75,15435151.0,14727154.25,170.2234616155868,45.818418634884594,23.58359498128278,587.9935346616672,39.99793704979948,293.90880032323514,253.91086327343567,0.00028788580655737496,6.508507296999999e-05,2.4694645939e-05,0.000934606593834,3.8320512463749996e-05,0.0005835658937679999,0.0005452453813042499
public_admin,23,2889701.8260869565,3162229.0,398803.0,10027935.0,1615290.0,3675732.0,2060442.0,2047150.1304347827,2421437.0,195692.0,3751845.0,1048347.0,2810177.0,1761830.0,842551.695652174,519457.0,203086.0,7605130.0,497790.0,770824.0,273034.0,52.573942747049486,30.874775295405954,8.044981638352574,313.8977342377946,19.181193403604883,52.3883841905785,33.20719078697361,4.8249351390173915e-05,5.2799737613000004e-05,6.658813691e-06,0.000167436430695,2.697049713e-05,6.1373697204e-05,3.4403200074e-05
social_media,30,8324632.4,3487991.0,378007.0,30208702.0,2525044.0,9783490.75,7258446.75,5592011.1,2758318.0,202054.0,22335790.0,2037082.75,8282647.25,6245564.5,2732621.3,738324.5,-235838.0,15512205.0,502768.0,2328932.25,1826164.25,58.23330689676111,31.64576576436074,-2.8478351487470337,203.2094160936151,21.05476287054963,98.56215084772951,77.50738797717989,0.0001389963871828,5.8238985727e-05,6.311582878999999e-06,0.000504394697294,4.2160659668000003e-05,0.00016335494505275,0.00012119428538474999
standards,27,4509963.37037037,919936.0,228349.0,33976434.0,778648.0,7545347.0,6766699.0,2127405.1481481483,674428.0,38622.0,6711305.0,261707.0,3210660.0,2948953.0,2382558.222222222,355481.0,189649.0,27265322.0,243643.0,1414802.0,1171159.0,193.58651738351605,53.31146527903884,11.071897989821407,808.1585624773446,24.904241547082908,490.04909560723513,465.1448540601522,7.530285839507407e-05,1.5360171391999997e-05,3.812743253e-06,0.000567304518498,1.3001085655999998e-05,0.00012598465885899998,0.00011298357320299998
streaming,30,11756868.766666668,7889596.5,834608.0,37977472.0,6325318.5,11801726.5,5476408.0,4839894.433333334,4249333.5,592831.0,13859774.0,2958803.0,5689147.5,2730344.5,6916974.333333333,3987526.5,241175.0,32271922.0,1669927.5,7828314.0,6158386.5,156.89743756398477,101.33187173344558,11.881977942051877,878.7496963150612,38.8853337609253,155.8504853186735,116.96515155774819,0.00019630443779703334,0.0001317325927605,1.3935449776e-05,0.000634109849984,0.00010561384299449999,0.00019705342737049995,9.143958437599996e-05
technology,27,9975997.0,5718125.0,600907.0,66785309.0,1369154.0,12014225.0,10645071.0,4219325.407407408,2397641.0,482252.0,26407518.0,1091696.0,4069742.0,2978046.0,5756671.592592592,1676709.0,118313.0,58914756.0,460940.0,5294846.0,4833906.0,152.0681473986455,58.153685759245455,19.027168702488435,748.5465887848032,39.927125601573756,193.74094607067107,153.81382046909732,0.000166569221909,9.5475533125e-05,1.0033344179e-05,0.001115114304373,2.2860764337999998e-05,0.000200601514825,0.000177740750487
