site_label,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg,category,data_quality_flag
20minutos,3,2132061.6666666665,2135884.0,2118602.0,2141699.0,2135884.0,2135884.0,0.0,1451796.6666666667,1451584.0,1451562.0,1452244.0,1451584.0,1451584.0,0.0,680265.0,683640.0,667040.0,690115.0,683640.0,683640.0,0.0,46.856730681147994,47.07473399786813,45.953255871950354,47.542202173625505,47.07473399786813,47.07473399786813,0.0,3.559903364833333e-05,3.5662855148e-05,3.5374297594e-05,3.575994820299999e-05,3.5662855148e-05,3.5662855148e-05,0.0,news,
abc_es,3,3283800.0,3266407.0,3212923.0,3372070.0,3266407.0,3266407.0,0.0,2330637.3333333335,2328759.0,2298740.0,2364413.0,2328759.0,2328759.0,0.0,953162.6666666666,914183.0,901994.0,1043311.0,914183.0,914183.0,0.0,40.90626041368232,39.76887338280971,38.14874981655066,44.80115804168658,39.76887338280971,39.76887338280971,0.0,5.48296086e-05,5.4539197679e-05,5.3646175331e-05,5.630345279e-05,5.4539197679e-05,5.4539197679e-05,0.0,news,
administracion_es,3,5514913.666666667,3281599.0,3235207.0,10027935.0,3281599.0,3281599.0,0.0,2422311.6666666665,2422693.0,2421437.0,2422805.0,2422693.0,2422693.0,0.0,3092602.0,858906.0,813770.0,7605130.0,858906.0,858906.0,0.0,127.65238981645271,35.452531542378665,33.60690366918487,313.8977342377946,35.452531542378665,35.452531542378665,0.0,9.208251349233333e-05,5.479285850299999e-05,5.4018251279e-05,0.000167436430695,5.479285850299999e-05,5.479285850299999e-05,0.0,public_admin,
aeat,3,3166528.0,3166270.0,3162229.0,3171085.0,3166270.0,3166270.0,0.0,2660733.6666666665,2660726.0,2660726.0,2660749.0,2660726.0,2660726.0,0.0,505794.3333333333,505521.0,501503.0,510359.0,505521.0,505521.0,0.0,19.009581472427797,18.999199097697677,18.848351915980828,19.181193403604883,18.999199097697677,18.999199097697677,0.0,5.2871518016e-05,5.286721019e-05,5.2799737613000004e-05,5.2947606244999995e-05,5.286721019e-05,5.286721019e-05,0.0,public_admin,
aliexpress,3,38757935.666666664,39655768.0,29412772.0,47205267.0,39655768.0,39655768.0,0.0,3586416.6666666665,3584101.0,3582798.0,3592351.0,3584101.0,3584101.0,0.0,35171519.0,36063417.0,25829974.0,43621166.0,36063417.0,36063417.0,0.0,980.637632699716,1003.8945804571991,720.9441894296023,1217.0741282123467,1003.8945804571991,1003.8945804571991,0.0,0.0006471412518263333,0.0006621323582959999,0.000491105054084,0.0007881863430989999,0.0006621323582959999,0.0006621323582959999,0.0,ecommerce,statistical_outlier
amazon,3,20552323.333333332,6621791.0,6610339.0,48424840.0,6621791.0,6621791.0,0.0,4701269.333333333,4904291.0,4276866.0,4922651.0,4904291.0,4904291.0,0.0,15851054.0,1717500.0,1687688.0,44147974.0,1717500.0,1717500.0,0.0,367.18501969144836,35.02035258511373,34.28412861281452,1032.2505778764169,35.02035258511373,35.02035258511373,0.0,0.0003431621426966667,0.000110564044327,0.000110372830283,0.0008085495534800001,0.000110564044327,0.000110564044327,0.0,ecommerce,statistical_outlier
amazon_es,3,5068392.0,5041556.0,5004454.0,5159166.0,5041556.0,5041556.0,0.0,3805087.0,3938865.0,3449122.0,4027274.0,3938865.0,3938865.0,0.0,1263305.0,1131892.0,1065589.0,1592434.0,1131892.0,1131892.0,0.0,33.776039289935134,28.105661546743526,27.053199335341528,46.16925698772035,28.105661546743526,28.105661546743526,0.0,8.4626941224e-05,8.4178860532e-05,8.355936843799999e-05,8.6142594702e-05,8.4178860532e-05,8.4178860532e-05,0.0,ecommerce,
apnews,3,53161825.333333336,55970954.0,47540000.0,55974522.0,55970954.0,55970954.0,0.0,8172188.0,8177132.0,8159731.0,8179701.0,8177132.0,8177132.0,0.0,44989637.333333336,47793822.0,39360299.0,47814791.0,47793822.0,47793822.0,0.0,550.5537366723862,584.481478347176,481.194838295434,585.9848933745487,584.481478347176,584.481478347176,0.0,0.0008876429975906667,0.000934547018938,0.0007937753799999999,0.000934606593834,0.000934547018938,0.000934547018938,0.0,news,
arstechnica,3,6723271.666666667,3952250.0,3891920.0,12325645.0,3952250.0,3952250.0,0.0,2397658.0,2397641.0,2397617.0,2397716.0,2397641.0,2397641.0,0.0,4325613.666666667,1554534.0,1494279.0,9928028.0,1554534.0,1554534.0,0.0,180.41193758771348,64.83395030937776,62.3228832006126,414.07897925315007,64.83395030937776,64.83395030937776,0.0,0.00011225846701833333,6.599071825e-05,6.498338823999999e-05,0.000205801294565,6.599071825e-05,6.599071825e-05,0.0,technology,
bankinter,3,942851.3333333334,950354.0,926041.0,952159.0,950354.0,950354.0,0.0,149719.0,150384.0,148326.0,150447.0,150384.0,150384.0,0.0,793132.3333333334,799970.0,777715.0,801712.0,799970.0,799970.0,0.0,529.7221236124686,531.9515373975955,524.3281690330757,532.8866644067346,531.9515373975955,531.9515373975955,0.0,1.574278871266667e-05,1.5868060738000002e-05,1.5462106577e-05,1.5898198823e-05,1.5868060738000002e-05,1.5868060738000002e-05,0.0,banking,
barclays,3,1551684.3333333333,1545400.0,1542576.0,1567077.0,1545400.0,1545400.0,0.0,1234002.3333333333,1233779.0,1233778.0,1234450.0,1233779.0,1233779.0,0.0,317682.0,310950.0,308797.0,333299.0,310950.0,310950.0,0.0,25.744136499029114,25.189355583458223,25.028550494051206,27.014503419577913,25.189355583458223,25.189355583458223,0.0,2.5908473313666665e-05,2.5803543800000002e-05,2.5756391472e-05,2.6165484668999996e-05,2.5803543800000002e-05,2.5803543800000002e-05,0.0,banking,
bbc,3,2798921.0,2804347.0,2755118.0,2837298.0,2804347.0,2804347.0,0.0,1993434.3333333333,1993476.0,1993350.0,1993477.0,1993476.0,1993476.0,0.0,805486.6666666666,810997.0,761642.0,843821.0,810997.0,810997.0,0.0,40.406988261881594,40.6851280507688,38.20673035441611,42.32910638045987,40.6851280507688,40.6851280507688,0.0,4.6733583937e-05,4.6824181859e-05,4.6002205246e-05,4.7374364706e-05,4.6824181859e-05,4.6824181859e-05,0.0,news,
bbva,3,1361145.6666666667,1352837.0,1352415.0,1378185.0,1352837.0,1352837.0,0.0,945446.3333333334,945370.0,945344.0,945625.0,945370.0,945370.0,0.0,415699.3333333333,407212.0,407071.0,432815.0,407212.0,407212.0,0.0,43.96865374699905,43.062736285525446,43.06062131880035,45.782603636671354,43.062736285525446,43.062736285525446,0.0,2.272704919633333e-05,2.2588319388999997e-05,2.2581273254999997e-05,2.3011554944999998e-05,2.2588319388999997e-05,2.2588319388999997e-05,0.0,banking,
boe,3,43448397.0,43449396.0,43437896.0,43457899.0,43449396.0,43449396.0,0.0,798225.6666666666,798226.0,798224.0,798227.0,798226.0,798226.0,0.0,42650171.333333336,42651172.0,42639669.0,42659673.0,42651172.0,42651172.0,0.0,5343.122016705245,5343.258533945359,5341.797383451073,5344.310132719304,5343.258533945359,5343.258533945359,0.0,0.0007254578847090001,0.0007254745650120001,0.000725282549512,0.0007256165396030001,0.0007254745650120001,0.0007254745650120001,0.0,public_admin,statistical_outlier
caixabank,3,8599917.333333334,8570810.0,8562090.0,8666852.0,8570810.0,8570810.0,0.0,7638436.666666667,7638442.0,7638114.0,7638754.0,7638442.0,7638442.0,0.0,961480.6666666666,932368.0,923976.0,1028098.0,932368.0,932368.0,0.0,12.587382286737036,12.206258815606638,12.09691292902934,13.45897511557513,12.206258815606638,12.206258815606638,0.0,0.00014359281971466667,0.00014310681457,0.00014296121673,0.00014471042784400002,0.00014310681457,0.00014310681457,0.0,banking,
canada_gov,3,43660392.666666664,43654566.0,43652617.0,43673995.0,43654566.0,43654566.0,0.0,777346.3333333334,777132.0,777116.0,777791.0,777132.0,777132.0,0.0,42883046.333333336,42876775.0,42875501.0,42896863.0,42876775.0,42876775.0,0.0,5516.595786389718,5517.258813356049,5512.634499499223,5519.894046313882,5517.258813356049,5517.258813356049,0.0,0.0007289975763553333,0.000728900288502,0.0007288677460489999,0.000729224694515,0.000728900288502,0.000728900288502,0.0,public_admin,statistical_outlier
