experiment,timestamp,site_label,category,domain,protocol,resolver_name,resolver_host,repetitions,failed_queries,pcap_file,bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,handshake_bytes,control_bytes,payload_bytes,connection_mode
dns,1784233324,bbc,news,bbc.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233324.pcap,1023,6.0357e-08,1.7081031e-08,10,5,5,102.3,results/20260716_222204/dns_dns_1784233324_bursts.json,,0,420,603,cold_start
dns,1784233331,bbc,news,bbc.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233331.pcap,42996,2.536764e-06,7.179042119999999e-07,63,32,31,682.4761904761905,results/20260716_222204/dns_doh_1784233331_bursts.json,results/20260716_222204/dns_doh_1784233331.keylog,32553,4732,5711,cold_start
dns,1784233336,bbc,news,bbc.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233336.pcap,44322,2.6149980000000003e-06,7.40044434e-07,47,24,23,943.0212765957447,results/20260716_222204/dns_doq_1784233336_bursts.json,results/20260716_222204/dns_doq_1784233336.keylog,41288,0,3034,cold_start
dns,1784233381,santander,banking,santander.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233381.pcap,1235,7.2865e-08,2.0620794999999997e-08,10,5,5,123.5,results/20260716_222204/dns_dns_1784233381_bursts.json,,0,420,815,cold_start
dns,1784233385,santander,banking,santander.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233385.pcap,39711,2.3429490000000003e-06,6.63054567e-07,56,28,28,709.125,results/20260716_222204/dns_doh_1784233385_bursts.json,results/20260716_222204/dns_doh_1784233385.keylog,29127,4270,6314,cold_start
dns,1784233389,santander,banking,santander.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233389.pcap,44420,2.6207800000000003e-06,7.4168074e-07,39,20,19,1138.974358974359,results/20260716_222204/dns_doq_1784233389_bursts.json,results/20260716_222204/dns_doq_1784233389.keylog,41058,0,3362,cold_start
dns,1784233439,ine,public_admin,ine.es,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233439.pcap,1015,5.9885e-08,1.6947455e-08,10,5,5,101.5,results/20260716_222204/dns_dns_1784233439_bursts.json,,0,420,595,cold_start
dns,1784233443,ine,public_admin,ine.es,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233443.pcap,45909,2.7086310000000004e-06,7.66542573e-07,65,33,32,706.2923076923076,results/20260716_222204/dns_doh_1784233443_bursts.json,results/20260716_222204/dns_doh_1784233443.keylog,36236,4930,4743,cold_start
dns,1784233447,ine,public_admin,ine.es,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233447.pcap,42352,2.498768e-06,7.07151344e-07,41,21,20,1032.9756097560976,results/20260716_222204/dns_doq_1784233447_bursts.json,results/20260716_222204/dns_doq_1784233447.keylog,39420,0,2932,cold_start
dns,1784233486,wikipedia,education,wikipedia.org,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233486.pcap,1093,6.4487e-08,1.8249820999999997e-08,10,5,5,109.3,results/20260716_222204/dns_dns_1784233486_bursts.json,,0,420,673,cold_start
dns,1784233491,wikipedia,education,wikipedia.org,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233491.pcap,43598,2.5722820000000003e-06,7.27955806e-07,70,35,35,622.8285714285714,results/20260716_222204/dns_doh_1784233491_bursts.json,results/20260716_222204/dns_doh_1784233491.keylog,33725,5038,4835,cold_start
dns,1784233497,wikipedia,education,wikipedia.org,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233497.pcap,43724,2.579716e-06,7.30059628e-07,43,22,21,1016.8372093023256,results/20260716_222204/dns_doq_1784233497_bursts.json,results/20260716_222204/dns_doq_1784233497.keylog,40710,0,3014,cold_start
dns,1784233538,amazon,ecommerce,amazon.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233538.pcap,1168,6.8912e-08,1.9502096e-08,10,5,5,116.8,results/20260716_222204/dns_dns_1784233538_bursts.json,,0,420,748,cold_start
dns,1784233542,amazon,ecommerce,amazon.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233542.pcap,42834,2.5272060000000003e-06,7.15199298e-07,68,34,34,629.9117647058823,results/20260716_222204/dns_doh_1784233542_bursts.json,results/20260716_222204/dns_doh_1784233542.keylog,33230,4600,5004,cold_start
dns,1784233546,amazon,ecommerce,amazon.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233546.pcap,42444,2.504196e-06,7.08687468e-07,37,19,18,1147.1351351351352,results/20260716_222204/dns_doq_1784233546_bursts.json,results/20260716_222204/dns_doq_1784233546.keylog,39271,0,3173,cold_start
dns,1784233590,github,technology,github.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233590.pcap,1178,6.950200000000001e-08,1.9669066e-08,10,5,5,117.8,results/20260716_222204/dns_dns_1784233590_bursts.json,,0,420,758,cold_start
dns,1784233594,github,technology,github.com,doh,quad9,dns.quad9.net,5,0,results/20260716_222204/dns_doh_1784233594.pcap,41247,2.433573e-06,6.88701159e-07,54,27,27,763.8333333333334,results/20260716_222204/dns_doh_1784233594_bursts.json,results/20260716_222204/dns_doh_1784233594.keylog,30137,4762,6348,cold_start
dns,1784233599,github,technology,github.com,doq,quad9,9.9.9.9,5,0,results/20260716_222204/dns_doq_1784233599.pcap,44268,2.6118120000000005e-06,7.391427960000001e-07,47,24,23,941.8723404255319,results/20260716_222204/dns_doq_1784233599_bursts.json,results/20260716_222204/dns_doq_1784233599.keylog,40959,0,3309,cold_start
dns,1784233651,twitter,social_media,x.com,dns,quad9,9.9.9.9,5,0,results/20260716_222204/dns_dns_1784233651.pcap,1033,6.094700000000001e-08,1.7248001e-08,10,5,5,103.3,results/20260716_222204/dns_dns_1784233651_bursts.json,,0,420,613,cold_start
