experiment,timestamp,site_label,category,url,use_cdp,pcap_file,profile_file,pcap_bytes,cdp_bytes,cdp_network_bytes,cdp_cached_bytes,capture_scoped_to_chrome_ports,overhead_bytes,overhead_pct,web_handshake_bytes,web_control_bytes,web_payload_bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,preamble_noise_bytes
web,1784233342,bbc,news,https://www.bbc.com,True,results/20260716_222204/web_1784233342.pcap,results/20260716_222204/web_profile_1784233342.json,2771152,1997362,1997362,0,True,773790,38.74059884988299,378577,47062,2345513,0.000163497968,4.6269924944e-05,485,243,242,5713.715463917526,results/20260716_222204/web_1784233342_bursts.json,results/20260716_222204/web_1784233342.keylog,108850
web,1784233394,santander,banking,https://www.santander.com,True,results/20260716_222204/web_1784233394.pcap,results/20260716_222204/web_profile_1784233394.json,76033316,41156255,41156255,0,True,34877061,84.7430384518708,134330,256698,75642288,0.004485965644,0.0012695282772519998,6219,3110,3109,12225.971378035054,results/20260716_222204/web_1784233394_bursts.json,results/20260716_222204/web_1784233394.keylog,48008
web,1784233452,ine,public_admin,https://www.ine.es,True,results/20260716_222204/web_1784233452.pcap,results/20260716_222204/web_profile_1784233452.json,2752879,2133648,2133648,0,True,619231,29.0221723545777,178375,49452,2525052,0.00016241986100000002,4.5964820663e-05,477,239,238,5771.234800838574,results/20260716_222204/web_1784233452_bursts.json,results/20260716_222204/web_1784233452.keylog,4044
web,1784233503,wikipedia,education,https://www.wikipedia.org,True,results/20260716_222204/web_1784233503.pcap,results/20260716_222204/web_profile_1784233503.json,351484,80863,80863,0,True,270621,334.6660400925021,109412,11464,230608,2.0737556e-05,5.868728347999999e-06,166,83,83,2117.373493975904,results/20260716_222204/web_1784233503_bursts.json,results/20260716_222204/web_1784233503.keylog,41774
web,1784233552,amazon,ecommerce,https://www.amazon.com,True,results/20260716_222204/web_1784233552.pcap,results/20260716_222204/web_profile_1784233552.json,6311065,4519935,4519935,0,True,1791130,39.62733977369143,636545,76028,5598492,0.000372352835,0.000105375852305,1129,565,564,5589.960141718335,results/20260716_222204/web_1784233552_bursts.json,results/20260716_222204/web_1784233552.keylog,30325
web,1784233607,github,technology,https://github.com,True,results/20260716_222204/web_1784233607.pcap,results/20260716_222204/web_profile_1784233607.json,5821355,4108221,4108221,0,True,1713134,41.70014222701261,188746,64496,5568113,0.000343459945,9.7199164435e-05,1749,875,874,3328.390508862207,results/20260716_222204/web_1784233607_bursts.json,results/20260716_222204/web_1784233607.keylog,62747
web,1784233665,twitter,social_media,https://x.com,True,results/20260716_222204/web_1784233665.pcap,results/20260716_222204/web_profile_1784233665.json,3393030,2595986,2595986,0,True,797044,30.702939075942627,245682,68724,3078624,0.00020018877,5.6653421909999994e-05,1215,608,607,2792.617283950617,results/20260716_222204/web_1784233665_bursts.json,results/20260716_222204/web_1784233665.keylog,38422
web,1784233733,youtube,streaming,https://www.youtube.com,True,results/20260716_222204/web_1784233733.pcap,results/20260716_222204/web_profile_1784233733.json,4356697,3630429,3630429,0,True,726268,20.005018690628575,278888,42204,4035605,0.000257045123,7.2743769809e-05,1075,538,537,4052.741395348837,results/20260716_222204/web_1784233733_bursts.json,results/20260716_222204/web_1784233733.keylog,19381
web,1784233784,webmd,health,https://www.webmd.com,True,results/20260716_222204/web_1784233784.pcap,results/20260716_222204/web_profile_1784233784.json,2605770,1789522,1789522,0,True,816248,45.61262728259278,312452,56092,2237226,0.00015374043,4.3508541689999995e-05,904,452,452,2882.488938053097,results/20260716_222204/web_1784233784_bursts.json,results/20260716_222204/web_1784233784.keylog,3262
web,1784233837,ietf,standards,https://www.ietf.org,True,results/20260716_222204/web_1784233837.pcap,results/20260716_222204/web_profile_1784233837.json,1392756,967028,967028,0,True,425728,44.024371579726754,106120,14816,1271820,8.217260400000001e-05,2.3254846932e-05,587,294,293,2372.6678023850086,results/20260716_222204/web_1784233837_bursts.json,results/20260716_222204/web_1784233837.keylog,2622
