category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,stdev_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,stdev_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,9,6.888888888888889,5.0,3.0,13.0,3.2956199888808646,4.5,9.5,5.0,1.6471132469978342,1.767950600710085,0.04329989772870733,3.2499970639277778,0.9204749180520152,1.024626314103402,2.2618403856553853,1.2372140715519833
ecommerce,8,8.625,8.0,2.0,18.0,4.596194077712559,6.25,10.5,4.25,1.5889023359486012,1.4855872389010703,0.8251079538353396,3.0572864506665054,0.7016997617789995,1.0775932314200296,1.8492022634480039,0.7716090320279743
education,8,8.0,6.5,0.0,16.0,5.264435935053794,4.5,12.75,8.25,1.4939153985575864,1.5060810299521932,0.0,3.697579391380766,1.1363706597861887,0.5736860686148243,2.023545122665915,1.4498590540510907
health,8,10.25,10.0,3.0,18.0,5.67576300723398,4.25,16.0,11.75,2.4366457064794096,2.527028505104683,0.5019000327067198,4.311991264522671,1.317351895246549,1.080207047272479,3.46870684011522,2.388499792842741
news,8,35.0,32.5,7.0,68.0,20.770858707058103,18.0,54.5,36.5,4.587764397206152,4.956669245495617,1.0779318755560037,6.656055106661308,1.749102819896219,3.7920634674810145,6.021535649489662,2.2294721820086476
public_admin,10,6.0,4.5,1.0,20.0,5.557777333511022,2.5,8.25,5.75,2.256021407733261,1.4636892280226088,0.7395982717851486,5.829567477990031,1.7939654050661444,0.766906691719476,3.820985257911196,3.05407856619172
social_media,10,6.3,5.5,1.0,17.0,4.83160888777687,2.75,9.25,6.5,1.2702417212281074,0.9895778322377793,0.21197583415742421,2.335052813958572,0.8203737479801902,0.6120086626989895,2.1055260546532075,1.4935173919542182
standards,8,3.75,3.0,1.0,8.0,2.49284690951645,2.0,6.25,4.25,1.4829785897518246,1.6957382468319189,0.1944087947270604,3.0953215414901862,0.9325580948119399,0.5914615332150797,1.9200839047199747,1.328622371504895
streaming,9,15.555555555555555,11.0,6.0,32.0,9.098229375970787,9.0,23.0,14.0,1.7607424062896748,1.4488778783858132,0.8790697969919397,3.651029881155666,0.835644853076099,1.2626776927444674,2.153998823243257,0.8913211304987898
technology,9,17.11111111111111,12.0,0.0,54.0,17.884661336215206,3.5,30.5,27.0,3.4983231490549556,3.7304477160356058,0.0,8.43368095022558,2.899698654419042,0.9364395848790539,5.6786098942845005,4.742170309405447
