category,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,stdev_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,stdev_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,stdev_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,stdev_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg
banking,9,11967537.0,3320763.0,1399607.0,76692098.0,24401450.410738405,1835851.0,7783340.0,5947489.0,7287758.333333333,2122729.0,975001.0,41155135.0,12919564.838295618,1225490.0,6787822.0,5562332.0,4679778.666666667,804949.0,424606.0,35536963.0,11575854.502217688,493979.5,1212255.0,718275.5,46.38062320180786,38.10475012461462,13.568310913018077,109.36890277614293,32.85987957338686,17.275191069939858,71.39359062597367,54.118399556033815,0.00019982196528899997,5.5446779811e-05,2.3369238078999995e-05,0.001280527960306,0.0004074310175080991,3.0653204147e-05,0.00012995842798,9.9305223833e-05
ecommerce,8,4577269.5,4613521.0,1460161.0,8049274.0,1795406.5242152184,3996575.25,4890409.0,893833.75,3335923.625,3263566.0,1065952.0,5372145.0,1172437.8519334267,3168326.75,3712167.75,543841.0,1610631.25,1113149.5,394209.0,5036388.0,1465383.9280722647,796994.0,1853973.0,1056979.0,55.16464897472282,35.644360570939014,23.050864494434563,167.16158527073378,48.226377394656836,27.20461020816651,68.71608078255451,41.511470574388,7.64266688415e-05,7.703196013699999e-05,2.4380308216999998e-05,0.000134398727978,2.99779027348215e-05,6.673081694925e-05,8.1655159073e-05,1.4924342123750006e-05
education,8,5225664.625,3720735.5,286342.0,12548458.0,4415131.067860871,2003115.75,9822729.25,7819613.5,3455894.0,3046204.0,0.0,7313721.0,2467526.7563618664,1564725.0,5648479.75,4083754.75,1769770.625,691361.5,286342.0,6759154.0,2296351.516725853,429975.75,3030936.75,2600961.0,36.800311267191944,24.906658640343284,0.0,116.75244554440395,35.47026376626536,19.376807622374187,47.35515992793911,27.978352305564925,8.7252922243625e-05,6.21251206435e-05,4.781052374e-06,0.00020952160322600002,7.371944344007295e-05,3.344602367774999e-05,0.00016401011028724998,0.0001305640866095
health,8,4693316.375,3940824.0,944812.0,13049038.0,3820001.0569878467,2015012.25,6005672.5,3990660.25,3703160.25,2191549.5,630372.0,11806091.0,3633660.1750416793,1425793.25,5109212.75,3683419.5,990156.125,663306.0,314440.0,2903835.0,823770.6047657473,561204.75,1179376.75,618172.0,44.043960035499325,31.591498532721452,10.528014734089378,153.82217379397144,46.57532467187081,15.312701197459122,47.96976060966516,32.65705941220604,7.836430351337499e-05,6.579993832799999e-05,1.5775525963999998e-05,0.00021787978748599997,6.378255764852608e-05,3.364465953825e-05,0.0001002767137325,6.663205419425e-05
news,8,8427355.375,6652588.0,1511104.0,26185755.0,8069427.484335356,2800316.25,10706524.25,7906208.0,5998651.75,2964870.0,1053410.0,23494589.0,7449895.283162092,1608391.5,7297600.25,5689208.75,2428703.625,1990840.5,457694.0,6324804.0,1902212.6823420995,1033278.25,3348953.25,2315675.0,64.88578526628241,47.06782648461461,11.454407651055314,188.59086798319595,53.811524413912714,44.02261115701452,76.73578874742726,32.71317759041274,0.00014071155269637498,0.000111078261836,2.5230903488e-05,0.00043722355123499996,0.00013473523070594743,4.6756880426249996e-05,0.00017876683540224997,0.00013200995497599996
public_admin,10,2472808.7,2234391.0,497138.0,4489951.0,1406578.9996891236,1230220.75,3884691.5,2654470.75,1906899.1,1695975.0,195767.0,3821967.0,1253379.9820168442,794410.25,3024533.75,2230123.5,565909.6,531890.0,277593.0,1040270.0,247868.39381377815,340689.0,712553.0,371864.0,46.8038475346195,33.08222746006352,9.256882647076754,153.94371880858367,40.677612626898735,24.209617567667156,54.45673487157934,30.247117303912187,4.12884868639e-05,3.7307626527e-05,8.300713186e-06,7.496871184699998e-05,2.3485649557809294e-05,2.054099586275e-05,6.486269397550001e-05,4.4321698112750006e-05
social_media,10,6908796.0,3204096.5,406660.0,21018215.0,7289938.263938164,2230973.25,10843938.75,8612965.5,4987620.8,2503285.5,202055.0,19203003.0,5726569.920837328,1669490.75,7178762.0,5509271.25,1921175.2,778430.5,204605.0,9330388.0,2729543.6378402486,517677.75,2080801.25,1563123.5,52.39435544596258,32.20062608640701,9.452750697377905,119.08116321466629,39.8003542586642,23.56131378771117,100.18392015455032,76.62260636683915,0.000115356166812,5.3498799260499996e-05,6.790002019999999e-06,0.000350941135855,0.00012172009919297554,3.725056035524999e-05,0.00018106124530875,0.00014381068495350003
standards,8,3357540.875,2389642.5,539618.0,8540663.0,3047313.5377067286,939486.75,6454209.0,5514722.25,2672423.0,1549666.5,329601.0,6992797.0,2663594.2744155205,637395.0,5661307.25,5023912.25,685117.875,468199.5,210017.0,1547866.0,490501.62917377247,302091.75,1156078.0,853986.25,38.940954167480584,35.39667457632151,13.502934737974536,71.03381565318625,21.622118436988533,18.63735915775846,61.00701731992985,42.36965816217139,5.6060859989874996e-05,3.9899860822500005e-05,9.010001745999999e-06,0.00014260345011099998,5.088099413908924e-05,1.568661026475e-05,0.000107765927673,9.207931740825e-05
streaming,9,7545053.888888889,7276325.0,3750485.0,16043671.0,3652643.066385951,4845281.0,8615859.0,3770578.0,5407019.666666667,4398865.0,2629313.0,14319543.0,3680495.7604135005,2941662.5,6508051.0,3566388.5,2138034.222222222,1724128.0,792405.0,5478088.0,1531082.2040286388,995536.0,3132119.0,2136583.0,55.576473209514965,32.49240105530327,12.040384249692885,181.3050310510492,56.11576046218426,17.914741724437413,87.02335534214558,69.10861361770816,0.00012597976478277776,0.000121492798525,6.2621848045e-05,0.000267881174687,6.098818127944621e-05,8.0901656857e-05,0.000143858997723,6.295734086599999e-05
technology,9,6086036.666666667,2670532.0,314080.0,25995089.0,8311630.516465481,802726.5,8685858.0,7883131.5,4447310.777777778,2008489.0,0.0,18261845.0,6114566.410948302,500120.0,7390578.5,6890458.5,1638725.888888889,662043.0,268156.0,7733244.0,2392662.0121427746,325568.5,1864663.5,1539095.0,40.11774815053863,37.647297120184916,0.0,84.3788512547221,25.87522779475484,21.525129508025678,60.337314531340766,38.81218502331509,0.00010161855422333333,4.4589872804e-05,5.24419376e-06,0.000434040001033,0.00013877929473342414,1.34031243705e-05,0.00014502777102599998,0.00013162464665549998
