category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,stdev_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,stdev_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,27,6.666666666666667,5.0,3.0,13.0,3.075961388174185,5.0,8.0,3.0,0.37122222357379026,0.3810451171511052,0.011808259813285262,0.722484234872845,0.2002594095598687,0.2835506210665129,0.5050630076932512,0.22151238662673828
ecommerce,24,8.833333333333334,8.5,2.0,19.0,4.4298068135977555,6.25,10.0,3.75,0.3377650949573498,0.273261420982848,0.1819907788230202,0.7284389638804238,0.1618071417802554,0.22793596967032226,0.40593625345593853,0.17800028378561628
education,24,8.5,6.5,4.0,16.0,4.086031347641994,5.25,12.0,6.75,0.3574237596911607,0.31305748600035277,0.08858496725553441,0.8141503631968121,0.20896644545274085,0.1976431111413275,0.4610828721446988,0.2634397610033713
health,24,10.291666666666666,10.0,3.0,18.0,5.44920549986052,4.25,16.25,12.0,0.5138592668254112,0.5346242739381061,0.08886565862500265,0.9592455361896173,0.2788145142765319,0.2141995645430058,0.7007208173086136,0.48652125276560776
news,24,34.833333333333336,29.5,7.0,74.0,21.233006845714172,18.0,53.5,35.5,1.0539600948154413,1.0622410856589015,0.3746898893588332,1.780624860532265,0.3869049191625233,0.8451452506672545,1.3250704864724183,0.4799252358051638
public_admin,30,5.5,4.5,1.0,15.0,4.074732908530579,3.0,8.0,5.0,0.4884696111681165,0.30766457763274957,0.15558894845303645,1.2771345446612967,0.36878045879566135,0.1947056142946695,0.8588906259453097,0.6641850116506403
social_media,30,6.266666666666667,5.5,1.0,17.0,4.638172450239525,3.0,9.0,6.0,0.252255208768174,0.20485705744036417,0.02771047843945278,0.49976443931337367,0.15814513705817823,0.14168964090085048,0.4448585974248884,0.30316895652403797
standards,24,3.75,3.0,1.0,8.0,2.381997700141262,2.0,6.25,4.25,0.3153803598074619,0.36549806294402604,0.04254599156758068,0.659716183145894,0.1904157694979462,0.11867011001622109,0.423052772144347,0.3043826621281259
streaming,26,15.692307692307692,11.0,6.0,33.0,8.8849050901818,9.0,20.5,11.5,0.40082538608568496,0.3629453720597011,0.1837474072995888,0.8219986564596073,0.17720133485102996,0.29629526785227744,0.4394534717315003,0.14315820387922285
technology,27,17.88888888888889,12.0,2.0,54.0,16.802777548171413,5.0,28.0,23.0,0.9434943817853847,1.0732591555263697,0.1240520467223095,1.781277438706786,0.5740661761968265,0.3040185858750059,1.3489629574902107,1.0449443716152047
