experiment,timestamp,site_label,category,url,use_cdp,pcap_file,profile_file,pcap_bytes,cdp_bytes,cdp_network_bytes,cdp_cached_bytes,capture_scoped_to_chrome_ports,overhead_bytes,overhead_pct,web_handshake_bytes,web_control_bytes,web_payload_bytes,energy_kwh,co2_kg,num_bursts,num_bursts_out,num_bursts_in,avg_burst_bytes,burst_file,keylog_file,preamble_noise_bytes,data_quality_flag
web,1784932265,reuters,news,https://www.reuters.com,True,results/20260725_002327/web_1784932265.pcap,results/20260725_002327/web_profile_1784932265.json,648330,7590,7590,0,True,640740,8441.897233201582,161754,21234,465342,3.825147e-05,1.082516601e-05,347,174,173,1868.386167146974,results/20260725_002327/web_1784932265_bursts.json,results/20260725_002327/web_1784932265.keylog,18557,likely_bot_blocked_or_failed_load
web,1784932292,reuters,news,https://www.reuters.com,True,results/20260725_002327/web_1784932292.pcap,results/20260725_002327/web_profile_1784932292.json,342707,17760,17760,0,True,324947,1829.6565315315315,127723,15916,199068,2.0219713e-05,5.722178778999999e-06,241,121,120,1422.0207468879669,results/20260725_002327/web_1784932292_bursts.json,results/20260725_002327/web_1784932292.keylog,6836,likely_bot_blocked_or_failed_load
web,1784932319,reuters,news,https://www.reuters.com,True,results/20260725_002327/web_1784932319.pcap,results/20260725_002327/web_profile_1784932319.json,395793,17761,17761,0,True,378032,2128.438714036372,172702,17834,205257,2.3351787e-05,6.6085557209999995e-06,261,131,130,1516.448275862069,results/20260725_002327/web_1784932319_bursts.json,results/20260725_002327/web_1784932319.keylog,7077,likely_bot_blocked_or_failed_load
web,1784932524,elpais,news,https://elpais.com,True,results/20260725_002327/web_1784932524.pcap,results/20260725_002327/web_profile_1784932524.json,721986,6567,6567,0,True,715419,10894.152581087255,180418,27296,514272,4.2597174e-05,1.2055000241999999e-05,371,186,185,1946.053908355795,results/20260725_002327/web_1784932524_bursts.json,results/20260725_002327/web_1784932524.keylog,6715,likely_bot_blocked_or_failed_load
web,1784932553,elpais,news,https://elpais.com,True,results/20260725_002327/web_1784932553.pcap,results/20260725_002327/web_profile_1784932553.json,470245,16730,16730,0,True,453515,2710.789001793186,189131,22244,258870,2.7744455e-05,7.851680764999998e-06,295,148,147,1594.050847457627,results/20260725_002327/web_1784932553_bursts.json,results/20260725_002327/web_1784932553.keylog,6851,likely_bot_blocked_or_failed_load
web,1784932580,elpais,news,https://elpais.com,True,results/20260725_002327/web_1784932580.pcap,results/20260725_002327/web_profile_1784932580.json,350638,16734,16734,0,True,333904,1995.3627345524083,155895,16784,177959,2.0687642e-05,5.854602686e-06,235,118,117,1492.0765957446808,results/20260725_002327/web_1784932580_bursts.json,results/20260725_002327/web_1784932580.keylog,6991,likely_bot_blocked_or_failed_load
web,1784933655,bankinter,banking,https://www.bankinter.com,True,results/20260725_002327/web_1784933655.pcap,results/20260725_002327/web_profile_1784933655.json,1091229,143802,143802,0,True,947427,658.8413234864605,153924,24128,913177,6.438251100000001e-05,1.8220250613000003e-05,463,232,231,2356.866090712743,results/20260725_002327/web_1784933655_bursts.json,results/20260725_002327/web_1784933655.keylog,8044,statistical_outlier
web,1784933683,bankinter,banking,https://www.bankinter.com,True,results/20260725_002327/web_1784933683.pcap,results/20260725_002327/web_profile_1784933683.json,1109562,138971,138971,0,True,970591,698.4126184599664,162330,17462,929770,6.5464158e-05,1.8526356713999998e-05,395,198,197,2809.0177215189874,results/20260725_002327/web_1784933683_bursts.json,results/20260725_002327/web_1784933683.keylog,7890,statistical_outlier
web,1784933710,bankinter,banking,https://www.bankinter.com,True,results/20260725_002327/web_1784933710.pcap,results/20260725_002327/web_profile_1784933710.json,1065514,144819,144819,0,True,920695,635.7556674193304,123867,12968,928679,6.2865326e-05,1.7790887258e-05,339,170,169,3143.109144542773,results/20260725_002327/web_1784933710_bursts.json,results/20260725_002327/web_1784933710.keylog,6954,statistical_outlier
web,1784935552,wikipedia,education,https://www.wikipedia.org,True,results/20260725_002327/web_1784935552.pcap,results/20260725_002327/web_profile_1784935552.json,292043,81033,81033,0,True,211010,260.4000839164291,125216,12216,154611,1.7230537e-05,4.876241971e-06,197,99,98,1482.451776649746,results/20260725_002327/web_1784935552_bursts.json,results/20260725_002327/web_1784935552.keylog,7042,statistical_outlier
web,1784935579,wikipedia,education,https://www.wikipedia.org,True,results/20260725_002327/web_1784935579.pcap,results/20260725_002327/web_profile_1784935579.json,356603,81030,81030,0,True,275573,340.08762186844376,100302,16396,239905,2.1039577e-05,5.954200291e-06,197,99,98,1810.1675126903554,results/20260725_002327/web_1784935579_bursts.json,results/20260725_002327/web_1784935579.keylog,6848,statistical_outlier
web,1784935606,wikipedia,education,https://www.wikipedia.org,True,results/20260725_002327/web_1784935606.pcap,results/20260725_002327/web_profile_1784935606.json,279366,81031,81031,0,True,198335,244.7643494465081,118523,12956,147887,1.6482594e-05,4.664574102e-06,193,97,96,1447.4922279792745,results/20260725_002327/web_1784935606_bursts.json,results/20260725_002327/web_1784935606.keylog,8321,statistical_outlier
web,1784936195,stanford,education,https://www.stanford.edu,True,results/20260725_002327/web_1784936195.pcap,results/20260725_002327/web_profile_1784936195.json,10680601,2985309,1901613,1083696,True,8778988,461.6600748943134,306226,131044,10243331,0.0006301554590000001,0.00017833399489700002,3165,1583,1582,3374.5974723538707,results/20260725_002327/web_1784936195_bursts.json,results/20260725_002327/web_1784936195.keylog,6920,statistical_outlier
web,1784936225,stanford,education,https://www.stanford.edu,True,results/20260725_002327/web_1784936225.pcap,results/20260725_002327/web_profile_1784936225.json,8858689,3000058,1899975,1100083,True,6958714,366.252924380584,284587,106502,8467600,0.000522662651,0.00014791353023299998,2457,1229,1228,3605.4900284900286,results/20260725_002327/web_1784936225_bursts.json,results/20260725_002327/web_1784936225.keylog,20298,statistical_outlier
web,1784936255,stanford,education,https://www.stanford.edu,True,results/20260725_002327/web_1784936255.pcap,results/20260725_002327/web_profile_1784936255.json,11552683,2642907,1901272,741635,True,9651411,507.6291556389617,294340,128542,11129801,0.0006816082970000001,0.000192895148051,3183,1592,1591,3629.4951303801445,results/20260725_002327/web_1784936255_bursts.json,results/20260725_002327/web_1784936255.keylog,3402,statistical_outlier
web,1784937318,etsy,ecommerce,https://www.etsy.com,True,results/20260725_002327/web_1784937318.pcap,results/20260725_002327/web_profile_1784937318.json,536647,6616,6616,0,True,530031,8011.351269649334,140227,17074,379346,3.1662173e-05,8.960394959e-06,253,127,126,2121.1343873517785,results/20260725_002327/web_1784937318_bursts.json,results/20260725_002327/web_1784937318.keylog,4208,likely_bot_blocked_or_failed_load
web,1784937346,etsy,ecommerce,https://www.etsy.com,True,results/20260725_002327/web_1784937346.pcap,results/20260725_002327/web_profile_1784937346.json,289897,16762,16762,0,True,273135,1629.489321083403,152237,14522,123138,1.7103923e-05,4.8404102089999995e-06,185,93,92,1567.0108108108109,results/20260725_002327/web_1784937346_bursts.json,results/20260725_002327/web_1784937346.keylog,7808,likely_bot_blocked_or_failed_load
web,1784937373,etsy,ecommerce,https://www.etsy.com,True,results/20260725_002327/web_1784937373.pcap,results/20260725_002327/web_profile_1784937373.json,307721,16761,16761,0,True,290960,1735.9346101067956,167097,18252,122372,1.8155539e-05,5.138017536999999e-06,207,104,103,1486.574879227053,results/20260725_002327/web_1784937373_bursts.json,results/20260725_002327/web_1784937373.keylog,7008,likely_bot_blocked_or_failed_load
web,1784937824,pccomponentes,ecommerce,https://www.pccomponentes.com,True,results/20260725_002327/web_1784937824.pcap,results/20260725_002327/web_profile_1784937824.json,1072514,128892,128892,0,True,943622,732.1028457933774,148214,13776,910524,6.327832600000001e-05,1.7907766258e-05,371,186,185,2890.8733153638814,results/20260725_002327/web_1784937824_bursts.json,results/20260725_002327/web_1784937824.keylog,27691,statistical_outlier
