category,samples,avg_unique_domains_resolved,median_unique_domains_resolved,min_unique_domains_resolved,max_unique_domains_resolved,stdev_unique_domains_resolved,q1_unique_domains_resolved,q3_unique_domains_resolved,iqr_unique_domains_resolved,avg_dns_privacy_cost_pct_of_page,median_dns_privacy_cost_pct_of_page,min_dns_privacy_cost_pct_of_page,max_dns_privacy_cost_pct_of_page,stdev_dns_privacy_cost_pct_of_page,q1_dns_privacy_cost_pct_of_page,q3_dns_privacy_cost_pct_of_page,iqr_dns_privacy_cost_pct_of_page
banking,27,6.666666666666667,5.0,3.0,13.0,3.075961388174185,5.0,8.0,3.0,1.7451621119818532,1.7913407635079581,0.05551210656569729,3.396488769088093,0.941444536286686,1.3330069410993626,2.374364381271091,1.0413574401717285
ecommerce,24,8.833333333333334,8.5,2.0,19.0,4.4298068135977555,6.25,10.0,3.75,1.587875964953779,1.2846361243531415,0.8555614178332515,3.4244826950742615,0.7606756151732582,1.071555507633613,1.9083571090951894,0.8368016014615764
education,24,8.5,6.5,4.0,16.0,4.086031347641994,5.25,12.0,6.75,1.6802938071166718,1.4717224043875332,0.4164490128236675,3.82742270553992,0.9823774012472506,0.9291449901288072,2.167608262253601,1.2384632721247937
health,24,10.291666666666666,10.0,3.0,18.0,5.44920549986052,4.25,16.25,12.0,2.41571669584115,2.51333559192781,0.41776857806531825,4.509533264818339,1.3107419106046787,1.0069789487405514,3.294176220570136,2.2871972718295845
news,24,34.833333333333336,29.5,7.0,74.0,21.233006845714172,18.0,53.5,35.5,4.954798253470118,4.99372822735624,1.761464042633561,8.370940221029592,1.8188884258100486,3.973133548920517,6.229322119874011,2.256188570953494
public_admin,30,5.5,4.5,1.0,15.0,4.074732908530579,3.0,8.0,5.0,2.2963567484144876,1.446369667512231,0.7314431104617406,6.003969260754823,1.73368307030127,0.9153354499792408,4.037752277614343,3.1224168276351025
social_media,30,6.266666666666667,5.5,1.0,17.0,4.638172450239525,3.0,9.0,6.0,1.185883292907929,0.9630586541270187,0.13027042565464925,2.3494551484797808,0.7434600728672427,0.6661007268906864,2.0913359171800314,1.425235190289345
standards,24,3.75,3.0,1.0,8.0,2.381997700141262,2.0,6.25,4.25,1.4826425247403927,1.7182521167833111,0.2000140287551565,3.101408305795145,0.8951683529411079,0.5578830325169392,1.9888240046826038,1.4309409721656645
streaming,26,15.692307692307692,11.0,6.0,33.0,8.8849050901818,9.0,20.5,11.5,1.8843302822310437,1.7062515976009256,0.8638195480513808,3.8643185139699625,0.8330456425735955,1.3929211199623275,2.065925745127857,0.6730046251655297
technology,27,17.88888888888889,12.0,2.0,54.0,16.802777548171413,5.0,28.0,23.0,4.435485117534455,5.045525552135886,0.5831841902389335,8.374008072663896,2.698756908528291,1.4292294041547287,6.34164361501636,4.912414210861631
