category,samples,avg_pcap_bytes,median_pcap_bytes,min_pcap_bytes,max_pcap_bytes,stdev_pcap_bytes,q1_pcap_bytes,q3_pcap_bytes,iqr_pcap_bytes,avg_cdp_bytes,median_cdp_bytes,min_cdp_bytes,max_cdp_bytes,stdev_cdp_bytes,q1_cdp_bytes,q3_cdp_bytes,iqr_cdp_bytes,avg_overhead_bytes,median_overhead_bytes,min_overhead_bytes,max_overhead_bytes,stdev_overhead_bytes,q1_overhead_bytes,q3_overhead_bytes,iqr_overhead_bytes,avg_overhead_pct,median_overhead_pct,min_overhead_pct,max_overhead_pct,stdev_overhead_pct,q1_overhead_pct,q3_overhead_pct,iqr_overhead_pct,avg_co2_kg,median_co2_kg,min_co2_kg,max_co2_kg,stdev_co2_kg,q1_co2_kg,q3_co2_kg,iqr_co2_kg
banking,27,10148620.888888888,3239869.0,1396104.0,60818445.0,18398456.624961473,1777402.0,5065480.0,3288078.0,6179309.592592592,2122637.0,986823.0,30813063.0,9360558.453506814,1257545.0,4425893.0,3168348.0,3969311.296296296,639716.0,329486.0,30005382.0,9257967.354895204,452432.0,1239167.0,786735.0,46.0077288368304,37.279583789358625,11.260191164702697,114.19490439329472,33.9510067146894,18.933381398067034,58.468328512525005,39.53494711445797,0.00015448230717066667,4.9317285918000005e-05,2.1251495088000002e-05,0.0009257783697900001,0.00028006130674516357,2.7055613244000005e-05,7.710673656e-05,5.005112331599999e-05
ecommerce,24,4898899.5,4576942.0,1360723.0,8275805.0,1924868.1085046027,3916611.5,6340085.0,2423473.5,3734427.9166666665,3334222.5,1065796.0,6342703.0,1505059.4260961467,2984930.25,5015497.0,2030566.75,1556990.7083333333,983919.0,294926.0,5204334.0,1411324.2127396427,897075.25,1754912.25,857837.0,48.65433350514506,34.23425083596837,18.15902266111648,169.44109190677693,45.61818046113876,27.663852744686615,39.88047508474916,12.216622340062543,7.4571048189e-05,6.967021112400001e-05,2.0712925506e-05,0.00012597430371000002,2.9300342347657063e-05,5.9618660253e-05,9.650877387000001e-05,3.689011361700001e-05
education,24,5563516.125,4115170.5,1530254.0,14187283.0,3637440.891833903,2679434.75,8781931.75,6102497.0,3657647.75,3452307.5,1201578.0,5864924.0,1702347.1249038908,2040364.75,5574672.75,3534308.0,1905868.375,691040.5,328676.0,8453447.0,2306698.1302976133,598200.25,3518607.5,2920407.25,44.616274316355884,26.551260355890246,14.744373496611624,147.43091710331444,37.513192354439795,18.53457080547724,74.82350442612199,56.28893362064474,8.468784245475001e-05,6.2641125351e-05,2.3293526388000004e-05,0.000215958821826,5.536912525549568e-05,4.07863557645e-05,0.00013367856509850003,9.289220933400004e-05
health,24,4989808.041666667,4001838.0,875896.0,13114446.0,3749464.5895076166,2134650.75,6964233.75,4829583.0,3941144.6666666665,2226460.5,630367.0,11786996.0,3557656.12690182,1488125.75,5506187.5,4018061.75,1048663.375,695658.0,245528.0,2912869.0,798905.221773321,621345.25,1273456.0,652110.75,43.95207302660662,34.11431895670103,10.490218137933656,154.19151945557837,44.46869664685092,14.334782678186693,45.53739715318665,31.20261447499996,7.595485801025e-05,6.0915978036e-05,1.3332888912000001e-05,0.000199628097012,5.7074349981484944e-05,3.24936537165e-05,0.00010600956614250002,7.351591242600002e-05
news,24,7036359.625,6004086.5,1494580.0,16291766.0,5115484.510812525,2430385.0,11268362.5,8837977.5,5317069.333333333,4435854.0,1060653.0,14129804.0,4248462.309421832,1624474.0,7991988.25,6367514.25,1719290.2916666667,1586131.5,433927.0,3610769.0,1039006.8484857978,807953.25,2568732.0,1760778.75,39.70266932144444,41.39782945269545,15.289780381950097,54.6522961309734,10.905002332792089,33.519926504520576,47.82406039455236,14.304133890031785,0.00010710746621175001,9.1394204703e-05,2.275049676e-05,0.00024799326205200006,7.786790522358826e-05,3.6995320470000005e-05,0.00017152701397500002,0.00013453169350500003
public_admin,30,2321885.0,2269208.0,496466.0,4646032.0,1229892.3730378284,1270671.0,3282533.25,2011862.25,1784110.6333333333,1724154.0,194055.0,4012724.0,1116500.8995393163,798224.0,2471023.25,1672799.25,537774.3666666667,552152.0,267283.0,894454.0,161621.19331378315,413686.0,622708.25,209022.25,47.391627932616686,33.334587077136895,14.310222071368567,168.07522864871828,40.879773046045656,24.23623801490416,51.99351371326235,27.757275698358193,3.5343733470000004e-05,3.4541884176e-05,7.557205452e-06,7.0721899104e-05,1.8721421702381825e-05,1.9342153962e-05,4.99667211315e-05,3.06245671695e-05
social_media,30,7781824.633333334,3732031.0,380024.0,23236973.0,7594503.511701707,2648828.0,12900390.75,10251562.75,5893809.933333334,3199956.0,202054.0,19201394.0,6003544.2308978755,1985429.25,10125032.75,8139603.5,1928684.0,814378.5,177970.0,13624345.0,2937157.5059774937,545874.5,1811150.25,1265275.75,50.11371759134123,34.381708658446456,9.410775058708756,171.72954191533222,45.085305270959644,13.591741034113252,89.42121580505865,75.8294747709454,0.00011845493456860001,5.680897588200001e-05,5.784725328000001e-06,0.00035371320300600005,0.00011560353245512338,4.032045981600001e-05,0.00019636974799650003,0.00015604928818050004
standards,24,3389077.4583333335,2158276.0,535259.0,8439808.0,2882686.8885539374,982594.75,6592699.0,5610104.25,2738699.5416666665,1383558.5,325778.0,7007026.0,2543299.2272635708,660423.25,5797167.0,5136743.75,650377.9166666666,390294.0,206488.0,1520203.0,445367.79646986997,292252.5,1107306.5,815054.0,37.40458041211505,26.965660783068405,11.879255394925375,82.73830400587137,23.79558020586009,16.13130518598979,64.22984957734104,48.098544391351254,5.158853707075e-05,3.2853277272e-05,8.147712498e-06,0.00012847075737600002,4.388025981756804e-05,1.4957057284500002e-05,0.000100354064178,8.53970068935e-05
streaming,26,7025766.846153846,7162338.0,3654345.0,12866818.0,2625005.777762947,5097038.75,7974826.25,2877787.5,5128644.384615385,4470354.0,2622486.0,11410203.0,2665889.0209896145,3034884.5,5798484.5,2763600.0,1897122.4615384615,1342530.5,679136.0,5707743.0,1334109.2732781745,931918.0,2934085.75,2002167.75,48.66966109883951,30.14903845002891,8.317985476953828,184.94541952713666,47.49787478814171,18.541835574567138,58.86029878766813,40.31846321310099,0.00010694622293215386,0.000109025109036,5.5626439590000006e-05,0.00019585870359600002,3.995783794910759e-05,7.758712385250001e-05,0.00012139280517750001,4.3805681325000004e-05
technology,27,3798590.111111111,3152227.0,736360.0,8267784.0,2531053.6397468993,1379101.0,5687685.0,4308584.0,2747610.037037037,2237681.0,482242.0,7124934.0,2071852.110348993,1091034.0,4070525.0,2979491.0,1050980.0740740742,916983.0,253965.0,2658265.0,722235.5702162092,329157.0,1490371.0,1161214.0,45.85966790316944,41.023843481964384,15.915564367362828,88.5990579039446,20.419329364633406,30.176313525241756,60.98268154710149,30.806368021859736,5.782213867133334e-05,4.798319939400001e-05,1.1208871920000002e-05,0.000125852208048,3.8527698504227304e-05,2.0992675421999998e-05,8.657794107e-05,6.558526564799999e-05
