resource_type,bytes,pct_of_cdp_bytes,samples
Image,382761755.0,35.77062420243654,85
Script,347492396.0,32.474560867556534,86
Media,170198983.0,15.905778936900017,13
Font,59943775.0,5.601986668705734,81
Stylesheet,31283506.0,2.9235693541552203,85
Fetch,30599140.0,2.8596126012060528,61
Document,20849757.0,1.9484935801883356,87
XHR,18152620.0,1.6964352886030463,69
Other,8410795.0,0.7860225930585261,87
Ping,203645.0,0.019031443634448766,29
Manifest,148570.0,0.01388446355555036,22
Preflight,0.0,0.0,34
