experiment,timestamp,site_label,category,domain,protocol,resolver_name,resolver_host,repetitions,failed_queries,pcap_file,bytes,energy_kwh,co2_kg
dns,1782461300,bbc,news,bbc.com,dns,quad9,9.9.9.9,5,0,results/20260626_100818/dns_dns_1782461300.pcap,603,1.6749999999999997e-11,6.699999999999999e-12
dns,1782461303,bbc,news,bbc.com,doh,quad9,dns.quad9.net,5,0,results/20260626_100818/dns_doh_1782461303.pcap,34311,9.530833333333333e-10,3.8123333333333333e-10
dns,1782461307,bbc,news,bbc.com,doq,quad9,9.9.9.9,5,0,results/20260626_100818/dns_doq_1782461307.pcap,39066,1.0851666666666666e-09,4.3406666666666664e-10
dns,1782461388,wikipedia,knowledge,wikipedia.org,dns,quad9,9.9.9.9,5,0,results/20260626_100818/dns_dns_1782461388.pcap,675,1.875e-11,7.5e-12
dns,1782461391,wikipedia,knowledge,wikipedia.org,doh,quad9,dns.quad9.net,5,0,results/20260626_100818/dns_doh_1782461391.pcap,31360,8.711111111111111e-10,3.4844444444444445e-10
dns,1782461396,wikipedia,knowledge,wikipedia.org,doq,quad9,9.9.9.9,5,0,results/20260626_100818/dns_doq_1782461396.pcap,44165,1.2268055555555554e-09,4.907222222222222e-10
dns,1782461430,github,developer,github.com,dns,quad9,9.9.9.9,5,0,results/20260626_100818/dns_dns_1782461430.pcap,760,2.1111111111111107e-11,8.444444444444444e-12
dns,1782461433,github,developer,github.com,doh,quad9,dns.quad9.net,5,0,results/20260626_100818/dns_doh_1782461433.pcap,29870,8.297222222222222e-10,3.318888888888889e-10
dns,1782461437,github,developer,github.com,doq,quad9,9.9.9.9,5,0,results/20260626_100818/dns_doq_1782461437.pcap,39234,1.0898333333333332e-09,4.359333333333333e-10
dns,1782461475,python,developer,python.org,dns,quad9,9.9.9.9,5,0,results/20260626_100818/dns_dns_1782461475.pcap,775,2.152777777777778e-11,8.611111111111112e-12
dns,1782461478,python,developer,python.org,doh,quad9,dns.quad9.net,5,0,results/20260626_100818/dns_doh_1782461478.pcap,31369,8.71361111111111e-10,3.4854444444444443e-10
dns,1782461482,python,developer,python.org,doq,quad9,9.9.9.9,5,0,results/20260626_100818/dns_doq_1782461482.pcap,41821,1.1616944444444444e-09,4.6467777777777776e-10
dns,1782461513,ietf,standards,ietf.org,dns,quad9,9.9.9.9,5,0,results/20260626_100818/dns_dns_1782461513.pcap,626,1.738888888888889e-11,6.955555555555556e-12
dns,1782461516,ietf,standards,ietf.org,doh,quad9,dns.quad9.net,5,0,results/20260626_100818/dns_doh_1782461516.pcap,31356,8.709999999999999e-10,3.4839999999999995e-10
dns,1782461523,ietf,standards,ietf.org,doq,quad9,9.9.9.9,5,0,results/20260626_100818/dns_doq_1782461523.pcap,39125,1.0868055555555556e-09,4.3472222222222225e-10
